A Shares,A-Share Call,H Shares,H-Share Call,Constituent Name,Industry Classification 
601288,YAHOO/SZ_ 601288,1288,HKEX/01288,ABC,Financials
601111,YAHOO/SZ_601111,753,HKEX/00753,Air China,Consumer Services
898,YAHOO/SZ_000898,347,HKEX/00347,Angang Steel,Materials
600585,YAHOO/SZ_600585,914,HKEX/00914,Anhui Conch,Properties and Construction
600332,YAHOO/SZ_600332,874,HKEX/00874,Baiyunshan Ph,Consumer Goods
601988,YAHOO/SZ_601988,3988,HKEX/03988,Bank of China,Financials
601328,YAHOO/SZ_601328,3328,HKEX/03328,Bankcomm,Financials
601992,YAHOO/SZ_601992,2009,HKEX/02009,BBMG,Properties and Construction
2594,YAHOO/SZ_002594,1211,HKEX/01211,BYD Company,Consumer Goods
601939,YAHOO/SZ_601939,939,HKEX/00939,CCB,Financials
601818,YAHOO/SZ_601818,6818,HKEX/06818,CEB Bank,Financials
601600,YAHOO/SZ_601600,2600,HKEX/02600,CHALCO,Materials
601898,YAHOO/SZ_601898,1898,HKEX/01898,China Coal,Energy
601800,YAHOO/SZ_601800,1800,HKEX/01800,China Comm Cons,Properties and Construction
600115,YAHOO/SZ_600115,670,HKEX/00670,China East Air,Consumer Services
601628,YAHOO/SZ_601628,2628,HKEX/02628,China Life,Financials
601808,YAHOO/SZ_601808,2883,HKEX/02883,China Oilfield,Energy
601186,YAHOO/SZ_601186,1186,HKEX/01186,China Rail Cons,Properties and Construction
601390,YAHOO/SZ_601390,390,HKEX/00390,China Railway,Properties and Construction
601088,YAHOO/SZ_601088,1088,HKEX/01088,China Shenhua,Energy
600029,YAHOO/SZ_600029,1055,HKEX/01055,China South Air,Consumer Services
2,YAHOO/SZ_000002,2202,HKEX/02202,China Vanke,Properties and Construction
39,YAHOO/SZ_000039,2039,HKEX/02039,CIMC,Industrials
601998,YAHOO/SZ_601998,998,HKEX/00998,CITIC Bank,Financials
600030,YAHOO/SZ_600030,6030,HKEX/06030,CITIC Sec,Financials
600036,YAHOO/SZ_600036,3968,HKEX/03968,CM Bank,Financials
603993,YAHOO/SZ_603993,3993,HKEX/03993,CMOC,Materials
600685,YAHOO/SZ_600685,317,HKEX/00317,COMEC,Industrials
601919,YAHOO/SZ_601919,1919,HKEX/01919,COSCO SHIP Hold,Industrials
601601,YAHOO/SZ_601601,2601,HKEX/02601,CPIC,Financials
601766,YAHOO/SZ_601766,1766,HKEX/01766,CRRC,Materials
601866,YAHOO/SZ_601866,2866,HKEX/02866,CSCL,Industrials
601991,YAHOO/SZ_601991,991,HKEX/00991,Datang Power,Utilities
600875,YAHOO/SZ_600875,1072,HKEX/01072,Dongfang Elec,Industrials
600196,YAHOO/SZ_600196,2196,HKEX/02196,Fosun Pharma,Consumer Goods
600660,YAHOO/SZ_600660,3606,HKEX/03606,Fuyao Glass,Consumer Goods
601238,YAHOO/SZ_601238,2238,HKEX/02238,GAC Group,Consumer Goods
776,YAHOO/SZ_000776,1776,HKEX/01776,GF Sec,Financials
2202,YAHOO/SZ_002202,2208,HKEX/02208,Goldwind,Industrials
601633,YAHOO/SZ_601633,2333,HKEX/02333,GreatWall Motor,Consumer Goods
601333,YAHOO/SZ_601333,525,HKEX/00525,Guangshen Rail,Consumer Services
600837,YAHOO/SZ_600837,6837,HKEX/06837,Haitong Sec,Financials
601688,YAHOO/SZ_601688,6886,HKEX/06886,HTSC,Financials
600027,YAHOO/SZ_600027,1071,HKEX/01071,Huadian Power,Utilities
600011,YAHOO/SZ_600011,902,HKEX/00902,Huaneng Power,Utilities
601398,YAHOO/SZ_601398,1398,HKEX/01398,ICBC,Financials
600362,YAHOO/SZ_600362,358,HKEX/00358,Jiangxi Copper,Materials
601618,YAHOO/SZ_601618,1618,HKEX/01618,MCC,Properties and Construction
600016,YAHOO/SZ_600016,1988,HKEX/01988,Minsheng Bank,Financials
601336,YAHOO/SZ_601336,1336,HKEX/01336,NCI,Financials
601857,YAHOO/SZ_601857,857,HKEX/00857,PetroChina,Energy
601318,YAHOO/SZ_601318,2318,HKEX/02318,Ping An,Financials
601727,YAHOO/SZ_601727,2727,HKEX/02727,SH Electric,Industrials
601607,YAHOO/SZ_601607,2607,HKEX/02607,Sh Pharma,Consumer Goods
600688,YAHOO/SZ_600688,338,HKEX/00338,Shanghai Pechem,Materials
600028,YAHOO/SZ_600028,386,HKEX/00386,Sinopec Corp,Energy
600871,YAHOO/SZ_600871,1033,HKEX/01033,Sinopec SSC,Energy
600600,YAHOO/SZ_600600,168,HKEX/00168,Tsingtao Brew,Consumer Goods
338,YAHOO/SZ_000338,2338,HKEX/02338,Weichai Power,Industrials
600188,YAHOO/SZ_600188,1171,HKEX/01171,Yanzhou Coal,Energy
601899,YAHOO/SZ_601899,2899,HKEX/02899,Zijin Mining,Materials
157,YAHOO/SZ_000157,1157,HKEX/01157,Zoomlion,Industrials
63,YAHOO/SZ_000063,763,HKEX/00763,ZTE,Information Technology